uri,title,text,type,authors,tags
http://files.interact.technology/J000511/ASCIA2016Poster1_FoodAllergy.pdfhttp://files.interact.technology/J000511/ASCIA2016Poster1_FoodAllergy.pdf,Poster 1,The utility of serum-based testing in the diagnosis and monitoring of Eosinophilic Oesophagitis,T1 Food Allergy,Mary Agapides,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster2_FoodAllergy.pdf,Poster 2,Synbiotics in Atopic Dermatitis,T1 Food Allergy,Kathy Beck,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster3_FoodAllergy.pdf,Poster 3,Anxiety in Paediatric food allergy - involving child life therapists to assist food allergy management,T1 Food Allergy,Jan Belcher,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster4_FoodAllergy%20M%20Bodinier.pdf,Poster 4,Perinatal exposure to gos/inulin prebiotics prevent food allergy by promoting tolerance and protecting intestine,T1 Food Allergy,Marie Bodinier,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster5_FoodAllergy.pdf,Poster 5,ASCIA guidelines for infant feeding and allergy prevention,T1 Food Allergy,Dianne Campbell,Food Allergy
http://files.interact.technology/J000511/unavailable.pdf,Poster 6,Why is Australian policy still cautious with influenza vaccination in severe egg allergic children?,T1 Food Allergy,Jeannette Comeau,Food Allergy
http://files.interact.technology/J000511/unavailable.pdf,Poster 7,"Serum specific ige levels to A- Lactalbumin, B- Lactoglobulin and casein in cowos milk allergic children: are they significant to clinical practice?",T1 Food Allergy,Terri Corderoy,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster8_FoodAllergy.pdf,Poster 8,"Immunological analysis of natural and recombinant Hen's egg yolk allergen, chicken serum albumin",T1 Food Allergy,Chamika DeSilva,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster9_FoodAllergy.pdf,Poster 9,Biomarkers for identification of peanut allergen-specific T cells,T1 Food Allergy,Preethi Eldi,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster10_FoodAllergy.pdf,Poster 10,"Increased anaphylaxis knowledge among trainers following course to teach delivery of interactive, scenario-based anaphylaxis education program",T1 Food Allergy,Lara Ford,Food Allergy
http://files.interact.technology/J000511/unavailable.pdf,Poster 11,Immuno-Pcr for the diagnosis of shellfish allergy: the analysis of a new technique for the sensitive detection of specific ige antibodies,T1 Food Allergy,Elecia Johnston,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster12_FoodAllergy_final.pdf,Poster 12,Basophil activation testing in peanut and cashew allergy,T1 Food Allergy,Thanh-Thao (Adriana) Le,Food Allergy
http://files.interact.technology/J000511/ASCIA2016Poster13_FoodAllergy_final.pdf,Poster 13,Food and venom allergy reports on MedicalertÂ Devices,T1 Food Allergy,Thanh-Thao (Adriana) Le,Food Allergy
http://files.interact.technology/J000511/unavailable.pdf,Poster 14,Development of a mouse model to evaluate the allergic cross-reactivity to shellfish tropomyosin,T1 Food Allergy,Tiange Liu,Food Allergy
