uri,title,text,type,authors,tags
http://files.interact.technology/J000523/Abstracts/001_Hogg.pdf,Abstract 1,A new level of control of thrombosis,Plenary 3,Phil Hogg,Barry Firkin Oration
http://files.interact.technology/J000523/Abstracts/002_Wood.pdf,Abstract 2,Karl Landsteiner was on to something,Plenary 3,Erica Wood,Ruth Sanger Oration
http://files.interact.technology/J000523/Abstracts/003_Iland.pdf,Abstract 3,"Curing acute promyelocytic leukaemia - blunderbuss, vitamins, and a poison chaser",Plenary 3,Harry Iland,Carl de Gruchy Oration
http://files.interact.technology/J000523/Abstracts/004_Crighton.pdf,Abstract 4,Use of ferric carboxymaltose in children,Meeting Room 212 & 213,Gemma Crighton,ANZSBT Presidential Symposium
http://files.interact.technology/J000523/Abstracts/005_Flores.pdf,Abstract 5,Improving blood management in obstetrics: a practice improvement partnership,Meeting Room 212 & 213,Cindy Flores,ANZSBT Presidential Symposium
http://files.interact.technology/J000523/Abstracts/006_Dean.pdf,Abstract 6,Development of laboratory assays for multiple parallel assessments of recipient immune responses for use in clinical studies of transfusion outcomes,Meeting Room 212 & 213,Melinda Dean,ANZSBT Presidential Symposium
http://files.interact.technology/J000523/Abstracts/007_McQuilten.pdf,Abstract 7,Epidemiology and outcomes of major obstetric haemorrhage requiring massive transfusion in Australia and New Zealand: Results from the Australasian Maternity Outcomes Surveillance System (AMOSS),Meeting Room 212 & 213,Zoe McQuilten,ANZSBT Presidential Symposium
http://files.interact.technology/J000523/Abstracts/008_Hyland.pdf,Abstract 8,Non Invasive Prenatal Testing (NIPT) for fetal RHD in twin pregnancies,Meeting Room 212 & 213,Catherine Hyland,ANZSBT Presidential Symposium
http://files.interact.technology/J000523/Abstracts/009_Mithraprabhu.pdf,Abstract 9,Circulating free tumour DNA analysis demonstrates spatial mutational heterogeneity that coincides with disease relapse in multiple myeloma patients,Plenary 3,Durga Mithraprabhu,Combined HSANZ / ASTH Presidential Symposium
http://files.interact.technology/J000523/Abstracts/010_Dyer.pdf,Abstract 10,The occupational and financial impact of Blood and Marrow Transplantation (BMT) on long-term survivors of BMT in NSW,Plenary 3,Gemma Dyer,Combined HSANZ / ASTH Presidential Symposium
http://files.interact.technology/J000523/Abstracts/011_Kalff.pdf,Abstract 11,ROAR: A Phase Ib trial of oral azacitidine in combination with lenalidomide and dexamethasone (Rd) for patients with relapsed and/or refractory (R/R) multiple myeloma who have failed a prior lenalidomide-containing regimen,Plenary 3,Anna Kalff,Combined HSANZ / ASTH Presidential Symposium
http://files.interact.technology/J000523/Abstracts/012_Asari.pdf,Abstract 12,Point mutations in TKI-resistant Ph-like acute lymphoblastic leukaemia via In vitro modelling: - implications for targeted therapeutic approaches,Plenary 3,Kartini Asari,Combined HSANZ / ASTH Presidential Symposium
http://files.interact.technology/J000523/Abstracts/013_Rabbolini.pdf,Abstract 13,Platelet development and bleeding phenotype is altered with mutation in different zinc finger domains of the GFI1B transcription factor,Meeting Room 219,David Rabbolini,Combined HSANZ / ASTH Presidential Symposium
http://files.interact.technology/J000523/Abstracts/014_Tay.pdf,Abstract 14,Validation of plasma miR-494-3p and miR-365a-3p expression levels as indicators of thrombotic risk,Meeting Room 219,Jasmine Tay,Combined HSANZ / ASTH Presidential Symposium
http://files.interact.technology/J000523/Abstracts/015_Spencer.pdf,Abstract 15,Biology of multiple myeloma: Genetics and epigenetics,Plenary 3,Andrew Spencer,HSANZ Symposium: Myeloma - the science and therapeutic update
http://files.interact.technology/J000523/Abstracts/016_Facon.pdf,Abstract 16,Optimal treatment in de novo and first relapse myeloma,Plenary 3,Thierry Facon,HSANZ Symposium: Myeloma - the science and therapeutic update
http://files.interact.technology/J000523/Abstracts/017_Kurtin.pdf,Abstract 17,LIVING with Cancer:  From the lens of a caregiver,Plenary 3,Sandra Kurtin,HSANZ & Nurses Symposium Survivorship
http://files.interact.technology/J000523/Abstracts/018_Avery.pdf,Abstract 18,Optimising survivorship - The physicians perspective,Plenary 3,Sandra Kurtin,HSANZ & Nurses Symposium Survivorship
http://files.interact.technology/J000523/Abstracts/019_Green.pdf,Abstract 19,The myeloproliferative neoplasms - JAK/STAT signalling and stem cell subversion ,Plenary 3,Tony Green,HSANZ/EHA Symposium: Myeloid disorders
http://files.interact.technology/J000523/Abstracts/020_Dick.pdf,Abstract 20,Clinical relevance of leukemia stem cells in AML,Plenary 3,John Dick,HSANZ/EHA Symposium: Myeloid disorders
http://files.interact.technology/J000523/Abstracts/021_McLintock.pdf,Abstract 21,Thrombocytopenia in pregnancy,Plenary 3,Claire McLintock,"COMBINED SYMPOSIUM (HSANZ, ANZSBT, ASTH & Nurses): Haematological diseases in pregnancy"
http://files.interact.technology/J000511/unavailable.pdf,Abstract 22,Blood Cancer & Pregnancy - Practical management,Plenary 3,Anne Hamilton,"COMBINED SYMPOSIUM (HSANZ, ANZSBT, ASTH & Nurses): Haematological diseases in pregnancy"
http://files.interact.technology/J000511/unavailable.pdf,Abstract 23,Alloummunisation - what's new?,Plenary 3,Helen Savoia,"COMBINED SYMPOSIUM (HSANZ, ANZSBT, ASTH & Nurses): Haematological diseases in pregnancy"
http://files.interact.technology/J000523/Abstracts/024_Yeh.pdf,Abstract 24,Circulating tumour DNA reflects overall disease burden and clonal evolution in chronic lymphocytic leukemia.,Plenary 3,Paul Yeh,HSANZ Early Career Symposium
http://files.interact.technology/J000523/Abstracts/025_Henden.pdf,Abstract 25,Interferon Lambda  is a Critical Cytoprotectant in Bone Marrow Transplantation,Plenary 3,Andrea Henden,HSANZ Early Career Symposium
http://files.interact.technology/J000523/Abstracts/026_Anderson.pdf,Abstract 26,BCL2 selective inhibition with venetoclax induces apoptosis in high risk del(17p) and TP53-defective CLL in vitro and in patients leading to durable responses,Plenary 3,Mary-Ann Anderson,HSANZ Early Career Symposium
http://files.interact.technology/J000523/Abstracts/027_Hsu.pdf,Abstract 27,Therapeutic blood dendritic cell vaccination for acute myeloid leukaemia,Plenary 3,Jennifer Hsu,HSANZ Early Career Symposium
