uri,title,text,type,authors,tags,organisation,date
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/001_Hogg.pdf,Abstract 1,A new level of control of thrombosis,Plenary 3,Phil Hogg,Barry Firkin Oration,ACRF Centenary Cancer Research Centre,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/002_Wood.pdf,Abstract 2,Karl Landsteiner was on to something,Plenary 3,Erica Wood,Ruth Sanger Oration,Monash University,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/003_Iland.pdf,Abstract 3,"Curing acute promyelocytic leukaemia - blunderbuss, vitamins, and a poison||chaser",Plenary 3,Harry Iland,Carl de Gruchy Oration,The University of Sydney,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/004_Crighton.pdf,Abstract 4,Use of ferric carboxymaltose in children,Meeting Room 212 & 213,Gemma Crighton,ANZSBT Presidential Symposium,Royal Children's Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/005_Flores.pdf,Abstract 5,Improving blood management in obstetrics: a practice improvement partnership,Meeting Room 212 & 213,Cindy Flores,ANZSBT Presidential Symposium,Australian Red Cross Blood Service,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/006_Dean.pdf,Abstract 6,Development of laboratory assays for multiple parallel assessments of recipient||immune responses for use in clinical studies of transfusion outcomes,Meeting Room 212 & 213,Melinda Dean,ANZSBT Presidential Symposium,Australian Red Cross Blood Service,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/007_McQuilten.pdf,Abstract 7,Epidemiology and outcomes of major obstetric haemorrhage requiring massive||transfusion in Australia and New Zealand: Results from the Australasian||Maternity Outcomes Surveillance System (AMOSS),Meeting Room 212 & 213,Zoe McQuilten,ANZSBT Presidential Symposium,Monash University,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/008_Hyland.pdf,Abstract 8,Non Invasive Prenatal Testing (NIPT) for fetal RHD in twin pregnancies,Meeting Room 212 & 213,Catherine Hyland,ANZSBT Presidential Symposium,Australian Red Cross Blood Service,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/009_Mithraprabhu.pdf,Abstract 9,Circulating free tumour DNA analysis demonstrates spatial mutational||heterogeneity that coincides with disease relapse in multiple myeloma patients,Plenary 3,Durga Mithraprabhu,Combined HSANZ / ASTH Presidential Symposium,Alfred Health - Monash University,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/010_Dyer.pdf,Abstract 10,The occupational and financial impact of Blood and Marrow Transplantation (BMT)||on long-term survivors of BMT in NSW,Plenary 3,Gemma Dyer,Combined HSANZ / ASTH Presidential Symposium,University of Sydney,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/011_Kalff.pdf,Abstract 11,ROAR: A Phase Ib trial of oral azacitidine in combination with lenalidomide and||dexamethasone (Rd) for patients with relapsed and/or refractory (R/R) multiple||myeloma who have failed a prior lenalidomide-containing regimen,Plenary 3,Anna Kalff,Combined HSANZ / ASTH Presidential Symposium,"Myeloma Research Group, The Alfred Hospital, Monash University",14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/012_Asari.pdf,Abstract 12,Point mutations in TKI-resistant Ph-like acute lymphoblastic leukaemia via In||vitro modelling: - implications for targeted therapeutic approaches,Plenary 3,Kartini Asari,Combined HSANZ / ASTH Presidential Symposium,South Australian Health and Medical Research Institute (SAHMRI),14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/013_Rabbolini.pdf,Abstract 13,Platelet development and bleeding phenotype is altered with mutation in||different zinc finger domains of the GFI1B transcription factor,Meeting Room 219,David Rabbolini,Combined HSANZ / ASTH Presidential Symposium,Royal North Shore Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/014_Tay.pdf,Abstract 14,Validation of plasma miR-494-3p and miR-365a-3p expression levels as indicators||of thrombotic risk,Meeting Room 219,Jasmine Tay,Combined HSANZ / ASTH Presidential Symposium,WACTH,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/015_Spencer.pdf,Abstract 15,Biology of multiple myeloma: Genetics and epigenetics,Plenary 3,Andrew Spencer,HSANZ Symposium: Myeloma - the science and therapeutic update,Malignant Haematology and Stem Cell Transplantation Service,13/11/2016
